angle,lc,EA,IPF,EA_full,EA_norm,IPF_norm,EA_std,IPF_std,neg_force_frac,nonmono_energy_frac,neg_ea_frac,ipf_fallback_frac
47.0,LC2,26.561365445454914,0.4077384074529012,39.15222464667426,0.07879600921849111,0.042234303459187945,0.34340987142473034,0.007569722936075719,0.0,0.0,0.0,0.0
47.05,LC2,26.610726674397785,0.40833228329817456,39.23599730597602,0.08003032383442453,0.04364829356697832,0.3466748428109918,0.007623399312284188,0.0,0.0,0.0,0.0
47.1,LC2,26.66055923038059,0.4089265035258399,39.32055452134874,0.08127642433711019,0.045063103632844874,0.34973964296538596,0.00767385177572783,0.0,0.0,0.0,0.0
47.15,LC2,26.710861841837566,0.4095203032096227,39.4058903588189,0.08253427893009099,0.04647691240375284,0.3526017735806729,0.007720628708529409,0.0,0.0,0.0,0.0
47.2,LC2,26.76163058810764,0.4101133959160911,39.492017322116425,0.08380378957429095,0.04788903789534091,0.3552642980218456,0.007763778552241285,0.0,0.0,0.0,0.0
47.25,LC2,26.812868118286133,0.4107058859533734,39.578947491116,0.08508502251232901,0.04929972846029538,0.3577309336417299,0.007802911946720389,0.0,0.0,0.0,0.0
47.3,LC2,26.864572630988228,0.41129759616321987,39.66668955485026,0.08637793269922434,0.05070856229325987,0.3600032049320964,0.007838123837066375,0.0,0.0,0.0,0.0
47.35,LC2,26.91673967573378,0.41188785764906144,39.755244149102104,0.08768240884737717,0.05211394678335551,0.36208275988148153,0.007869759259350292,0.0,0.0,0.0,0.0
47.4,LC2,26.96936904059516,0.4124763442410363,39.84462229410807,0.08899844565737798,0.05351510533567325,0.363975648413319,0.007898287239455631,0.0,0.0,0.0,0.0
47.45,LC2,27.022452142503525,0.41306250790754956,39.93482632107205,0.09032582850314157,0.05491073311308246,0.3656841393257784,0.007923744745215433,0.0,0.0,0.0,0.0
47.5,LC2,27.07599141862657,0.4136461151970757,40.025871700710724,0.0916646183278774,0.05630027427861765,0.3672175727242133,0.007946311732797535,0.0,0.0,0.0,0.0
47.55,LC2,27.129984431796604,0.414227823416392,40.117760552300346,0.09301475418837608,0.057685293848415066,0.36858120959334684,0.007968394150265077,0.0,0.0,0.0,0.0
47.6,LC2,27.18441761864556,0.41480597025818294,40.210499657524956,0.09437589692242881,0.05906183394791397,0.36978243299482244,0.007988083853423304,0.0,0.0,0.0,0.0
47.65,LC2,27.239289177788628,0.4153805938031938,40.3040837181939,0.09574800148505484,0.06042998524555563,0.37082187790223653,0.008005601933057238,0.0,0.0,0.0,0.0
47.7,LC2,27.294600592719185,0.41595087117618984,40.398539225260414,0.09713110497212075,0.06178778851459057,0.3717174974395339,0.008020810074115908,0.0,0.0,0.0,0.0
47.75,LC2,27.35033310784234,0.41651707887649536,40.493856006198456,0.09852473838588474,0.06313590208674336,0.37247256702584375,0.008033367133583361,0.0,0.0,0.0,0.0
47.8,LC2,27.40649488237169,0.4170783758163452,40.590053982204864,0.09992910575361304,0.06447232337209698,0.37309498622928156,0.008043942862643079,0.0,0.0,0.0,0.0
47.85,LC2,27.46306218041314,0.41763413945833844,40.68712043762207,0.10134361354144046,0.06579557013874435,0.37360122256154626,0.00805293226268887,0.0,0.0,0.0,0.0
47.9,LC2,27.520037015279133,0.41818372739685905,40.78507275051541,0.1027683120937573,0.0671041128495046,0.3739972331448438,0.00806010119567226,0.0,0.0,0.0,0.0
