lc,angle_deg,d_eval_mm,EA_J,EA_std
LC1,56.25,72.3913043478261,23.61043555033956,0.4481769545341671
LC1,56.25,73.91304347826087,23.9597655909073,0.44600546300767674
LC1,56.25,75.43478260869566,24.306188260875462,0.44337671477763574
LC1,56.25,76.95652173913044,24.64937442742684,0.4405401383348359
LC1,56.25,78.47826086956522,24.989088827861103,0.4377399702934071
LC1,56.25,80.0,25.32526206970215,0.4351937268638666
LC1,61.25,45.0,18.338613722059463,0.7523284121950636
LC1,61.25,46.52173913043478,18.77413007487421,0.7619673419176484
LC1,61.25,48.04347826086956,19.204809064450473,0.7716864999264543
LC1,61.25,49.565217391304344,19.631260544781522,0.7815469246184359
LC1,61.25,51.08695652173913,20.05391556283702,0.7915782109069083
LC1,61.25,52.608695652173914,20.473061165371956,0.8017769832148511
LC1,61.25,54.130434782608695,20.888884783942917,0.8121066685116313
LC1,61.25,55.65217391304348,21.301522711048953,0.8225003284173447
LC1,61.25,57.173913043478265,21.711102508692353,0.8328774173372342
LC1,61.25,58.69565217391305,22.117779943678116,0.8431597903037544
LC1,61.25,60.21739130434783,22.521766607312188,0.8532869571541959
LC1,61.25,61.73913043478261,22.92333983914288,0.8632223930878747
LC1,61.25,63.26086956521739,23.322831600760495,0.8729450791447166
LC1,61.25,64.78260869565217,23.720604680010663,0.8824285117461556
LC1,61.25,66.30434782608695,24.117000948403767,0.8916308410552426
LC1,61.25,67.82608695652175,24.51228520029409,0.9004787537139164
LC1,61.25,69.34782608695653,24.906572742738586,0.9088840331979421
LC1,61.25,70.86956521739131,25.299770332189,0.9167555298421287
LC1,61.25,72.3913043478261,25.6915508998189,0.924018282393691
LC1,61.25,73.91304347826087,26.081378084449952,0.9306157742772031
LC1,61.25,75.43478260869566,26.46859146892161,0.9364961234657799
LC1,61.25,76.95652173913044,26.85251249322569,0.9415976445628246
LC1,61.25,78.47826086956522,27.232551860348615,0.9458298671828334
LC1,61.25,80.0,27.608272658454048,0.9490752757017403
LC1,66.25,45.0,19.15734651353624,0.4775261189022037
LC1,66.25,46.52173913043478,19.586843877598863,0.4869055226417623
LC1,66.25,48.04347826086956,20.00754484001565,0.496344507096357
LC1,66.25,49.565217391304344,20.420202665282904,0.5058711082136598
LC1,66.25,51.08695652173913,20.82556089226175,0.5154973881087945
LC1,66.25,52.608695652173914,21.22437824028126,0.5252188408742551
LC1,66.25,54.130434782608695,21.617425854079393,0.535016993367177
LC1,66.25,55.65217391304348,22.00550017149552,0.544864805597536
LC1,66.25,57.173913043478265,22.389423692859893,0.5547270160115362
LC1,66.25,58.69565217391305,22.77003160191043,0.5645778309299463
LC1,66.25,60.21739130434783,23.148146320656302,0.5743970473714465
LC1,66.25,61.73913043478261,23.524534879675237,0.584180791933347
